grade,lecture_no,lecture_title,topic_domain,question_count,section_count,missing_sections,interest_count,extension_count,challenge_count,structure_signals
4,14,平均数问题,calculation,31,3,,9,14,8,case_analysis
4,15,复杂竖式,general,33,2,超越篇,10,23,0,
4,16,横式问题,general,30,3,,10,14,6,
4,17,格点与割补,geometry,34,3,,10,15,9,
4,18,行程问题二,application,31,3,,10,13,8,recursive_or_sequence|travel_chain
4,19,行程问题三,application,31,3,,9,14,8,travel_chain|work_rate
4,20,幻方与数阵图扩展,geometry,30,3,,11,13,6,
4,21,排列组合,calculation,31,3,,9,14,8,case_analysis
4,22,计数综合一,counting,31,3,,10,14,7,growth_consumption
4,23,最值问题一,general,32,3,,10,14,8,
4,24,逻辑推理一,logic,32,3,,10,14,8,travel_chain
5,1,分数计算与比较大小,calculation,21,2,拓展篇,16,0,5,
5,2,整除,number_theory,31,3,,10,13,8,
5,3,质数与合数,number_theory,30,3,,10,13,7,recursive_or_sequence
5,4,包含与排除,general,27,3,,10,10,7,case_analysis
5,5,行程问题四,application,30,3,,10,13,7,reverse_process|travel_chain
5,6,几何计数,geometry,33,3,,11,14,8,
5,7,约数与倍数,number_theory,33,3,,11,14,8,
5,8,分数与循环小数,calculation,29,3,,11,12,6,
5,9,比较与估算,counting,23,2,超越篇,6,17,0,
5,10,数字谜综合一,calculation,30,3,,9,13,8,
5,11,和差倍分问题,general,27,3,,7,12,8,
5,12,应用题拓展,application,30,3,,8,13,9,defined_operation
5,13,计算综合一,calculation,28,3,,10,11,7,defined_operation|grouping|recursive_or_sequence
5,14,直线形计算二,calculation,32,3,,10,14,8,travel_chain
5,15,圆与扇形,geometry,33,3,,9,15,9,geometry_transform|travel_chain
5,16,余数,number_theory,32,2,拓展篇,24,0,8,defined_operation
5,17,工程问题,application,31,3,,10,13,8,case_analysis|defined_operation|growth_consumption|travel_chain|work_rate
5,18,牛吃草问题与钟表问题,application,31,3,,10,14,7,case_analysis|growth_consumption|travel_chain
5,19,直线形计算三,calculation,31,3,,10,13,8,grouping
5,20,行程问题五,application,29,3,,9,12,8,recursive_or_sequence|reverse_process|travel_chain
5,21,数字问题,general,31,3,,10,13,8,defined_operation
5,22,计数综合二,number_theory,30,3,,9,13,8,
5,23,构造论证一,geometry,28,3,,10,11,7,case_analysis|recursive_or_sequence
5,24,抽屉原理二,counting,30,3,,10,12,8,
6,1,分数数列计算,calculation,14,3,,4,7,3,
6,2,计算综合二,calculation,27,2,拓展篇,21,0,6,defined_operation
6,3,比例解应用题,application,28,3,,8,12,8,defined_operation|travel_chain|work_rate
6,4,方程解应用题,application,28,2,拓展篇,21,0,7,defined_operation|recursive_or_sequence|travel_chain
6,5,浓度问题与经济问题,application,32,3,,10,13,9,case_analysis
6,6,逻辑推理二,logic,32,3,,9,15,8,case_analysis|defined_operation
6,7,最值问题二,general,32,3,,10,13,9,case_analysis|recursive_or_sequence
6,8,不定方程,general,29,3,,10,11,8,defined_operation
6,9,立体几何,geometry,34,3,,11,15,8,geometry_transform
6,10,几何综合一,geometry,30,3,,10,12,8,
6,11,几何综合二,geometry,31,3,,10,14,7,
6,12,计数综合三,counting,30,3,,8,14,8,defined_operation|geometry_transform
6,13,计数综合四,counting,28,3,,9,13,6,case_analysis|geometry_transform|growth_consumption
6,14,行程问题六,application,29,3,,10,11,8,travel_chain
6,15,数论综合一,number_theory,31,3,,9,14,8,case_analysis
6,16,数字谜综合二,general,33,3,,9,16,8,
6,17,应用题综合一,application,29,3,,9,11,9,case_analysis|travel_chain|work_rate
6,18,应用题综合二,application,31,3,,9,14,8,case_analysis|defined_operation|travel_chain|work_rate
6,19,进位制与取整符号,general,29,3,,9,14,6,recursive_or_sequence
6,20,数论综合二,number_theory,28,3,,10,12,6,case_analysis|recursive_or_sequence
6,21,数论综合三,general,29,3,,8,13,8,case_analysis
6,22,构造论证二,logic,28,3,,9,11,8,case_analysis
6,23,概率初步,calculation,42,3,,15,19,8,case_analysis|travel_chain
